Event,Zone,Region,Category,Start_Date,End_Date,Fatalities,Injured,Insured_Cost,latitude,longitude
"Flood - Brisbane, Sunshine Coast, and Gold Coast",Queensland,Brisbane,Flood,2001-03-09,2001-03-11,2,,3700,-27.4689682,153.0234991
"Flood - Grafton, Kempsey and North Coast New South Wales ",New South Wales,Lismore (NSW) ,Flood,2001-03-05,2001-03-12,,,2500,-28.7936072,153.2671259
Flood - North and Central Queensland,Queensland,Cairns ,Flood,2000-02-05,2000-02-28,,10,1200,-16.9206657,145.7721854
Flood - Melbourne and Central Victoria,Victoria,Melbourne,Flood,1999-12-26,1999-12-28,,,1000,-37.8142454,144.9631732
Flood - Sydney and Wollongong,New South Wales,Sydney ,Flood,1998-08-17,1998-08-19,1,,4000,-33.8698439,151.2082848
Flood - Katherine Floods,Northern Territory,Katherine,Flood,1998-01-25,1998-02-02,3,30,7000,-14.4646157,132.2635993
Flood - Townsville,Queensland,Cairns ,Flood,1998-01-10,1998-01-12,1,,7100,-16.9206657,145.7721854
Flood - Southern Queensland and Northern New South Wales,"Queensland , New South Wales",Brisbane ,Flood,1996-05-01,1996-05-09,5,20,3100,-27.4689682,153.0234991
Flood - North-Eastern Victoria,Victoria,Melbourne,Flood,1993-10-03,1993-10-04,,,1200,-37.8142454,144.9631732
"Flood - Gnarr Creek, Ballarat",Victoria,Melbourne,Flood,1991-12-16,1991-12-18,,,2400,-37.8142454,144.9631732
Flood - Gulf Country ,Queensland,Cairns ,Flood,1990-12-23,1991-01-07,6,,3200,-16.9206657,145.7721854
"Flood - Queensland - Charleville, New South Wales - Nyngan, Victoria - Gippsland",National,Brisbane ,Flood,1990-04-18,1990-04-30,6,60,3000,-27.4689682,153.0234991
Flood - Lismore,New South Wales,Lismore (NSW),Flood,1988-04-07,1988-04-12,,,2500,-28.7936072,153.2671259
Flood - Alice Springs and Central NT,Northern Territory,Alice Springs,Flood,1988-03-31,1988-04-02,3,,1000,-23.6983884,133.8812885
Flood - Sydney,New South Wales,Sydney,Flood,1986-08-04,1986-08-06,6,,3500,-33.8698439,151.2082848
Flood - Sydney,New South Wales,Sydney,Flood,1984-11-08,1984-11-08,,,8000,-33.8698439,151.2082848
Flood - Dalby,Queensland,Brisbane,Flood,1981-02-01,1981-02-01,1,5,2000,-27.4689682,153.0234991
"Flood - Sydney, Newcastle and Wollongong",New South Wales,Sydney,Flood,1978-02-10,1978-02-10,6,,1500,-33.8698439,151.2082848
Flood - Sydney,New South Wales,Sydney,Flood,1975-03-09,1975-03-09,,,1500,-33.8698439,151.2082848
Flood - Western Sydney,New South Wales,Sydney,Flood,1974-04-24,1974-04-24,1,,2000,-33.8698439,151.2082848
Flood - Brisbane River,Queensland,Brisbane,Flood,1974-01-25,1974-01-29,13,300,6800,-27.4689682,153.0234991
Flood - Eastern Australia,"Queensland , New South Wales , South Australia , Tasmania , Victoria",Brisbane ,Flood,1974-01-25,1974-04-01,14,,6800,-27.4689682,153.0234991
"Flood - Queensland, Northern Territory and Western Australia",Queensland,Birdsville ,Flood,1973-03-02,1973-03-30,,,3000,-25.8980596,139.3523124
Flood - Burdekin River,Queensland,Ayr ,Flood,1940-04-07,1940-04-09,3,,100,-19.765115,145.994395
Flood - Geelong,Victoria,Geelong,Flood,2015-01-27,2015-01-27,,,1170,-38.1493248,144.3598241
Industrial - Savage River Mine Fire,Tasmania,Savage River,Industrial,2006-06-21,,,,1000,-41.502208,145.233997
Industrial - Bellevue Hazardous Waste Fire,Western Australia,Perth,Industrial,2001-02-15,2001-02-17,,130,560,-31.9558933,115.8605855
Industrial - Coode Island,Victoria,Melbourne,Industrial,1991-07-21,,2,,2100,-37.8142454,144.9631732
Industrial - Varanus Island Gas Explosion,Western Australia,Dampier,Industrial,2008-06-03,2008-06-03,,,23000,-20.6624798,116.7119013
"Hail - North Sydney hailstorm, 2017",New South Wales,North sydney,Storm,2017-02-18,2017-02-18,,3,32800,-33.8354519,151.2083011
Hail - Sydney,New South Wales,Sydney,Storm,2007-12-09,2007-12-09,,30,41500,-33.8698439,151.2082848
Hail - Lismore,New South Wales,Lismore (NSW),Storm,2007-10-08,2007-10-09,,17,9700,-28.7936072,153.2671259
Hail - Hunter Valley,New South Wales,Sydney,Storm,2006-10-31,2006-10-31,,,3100,-33.8698439,151.2082848
Hail - Sydney Hailstorm,New South Wales,Sydney,Storm,2015-04-25,2015-04-25,,,47081.9649,-33.8698439,151.2082848
Hail - Lake Grace,Western Australia,Bunbury,Storm,2005-10-16,2005-10-16,,,1000,-33.3267797,115.636698
Storm - Severe storm Sydney,New South Wales,Sydney,Storm,2015-12-16,,,,22000,-33.8698439,151.2082848
Hail - Gold Coast ,Queensland,Brisbane,Storm,2005-10-12,2005-10-12,,,6100,-27.4689682,153.0234991
Hail - Brisbane,Queensland,Brisbane,Storm,2005-05-19,2005-05-19,,,1760,-27.4689682,153.0234991
